Date,DayName,StartOfWeek,StartOfMonth,StartOfQuarter,MonthName,MonthNumber,StartOfYear,Year
2020-02-28,Friday,2020-02-24,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-29,Saturday,2020-02-24,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-03-01,Sunday,2020-02-24,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-02,Monday,2020-03-02,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-03,Tuesday,2020-03-02,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-04,Wednesday,2020-03-02,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-05,Thursday,2020-03-02,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-06,Friday,2020-03-02,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-07,Saturday,2020-03-02,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-08,Sunday,2020-03-02,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-09,Monday,2020-03-09,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-10,Tuesday,2020-03-09,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-11,Wednesday,2020-03-09,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-12,Thursday,2020-03-09,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-13,Friday,2020-03-09,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-14,Saturday,2020-03-09,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-15,Sunday,2020-03-09,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-16,Monday,2020-03-16,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-17,Tuesday,2020-03-16,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-18,Wednesday,2020-03-16,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-19,Thursday,2020-03-16,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-20,Friday,2020-03-16,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-21,Saturday,2020-03-16,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-22,Sunday,2020-03-16,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-23,Monday,2020-03-23,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-24,Tuesday,2020-03-23,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-25,Wednesday,2020-03-23,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-26,Thursday,2020-03-23,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-27,Friday,2020-03-23,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-28,Saturday,2020-03-23,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-29,Sunday,2020-03-23,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-30,Monday,2020-03-30,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-31,Tuesday,2020-03-30,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-04-01,Wednesday,2020-03-30,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-02,Thursday,2020-03-30,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-03,Friday,2020-03-30,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-04,Saturday,2020-03-30,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-05,Sunday,2020-03-30,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-06,Monday,2020-04-06,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-07,Tuesday,2020-04-06,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-08,Wednesday,2020-04-06,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-09,Thursday,2020-04-06,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-10,Friday,2020-04-06,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-11,Saturday,2020-04-06,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-12,Sunday,2020-04-06,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-13,Monday,2020-04-13,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-14,Tuesday,2020-04-13,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-15,Wednesday,2020-04-13,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-16,Thursday,2020-04-13,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-17,Friday,2020-04-13,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-18,Saturday,2020-04-13,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-19,Sunday,2020-04-13,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-20,Monday,2020-04-20,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-21,Tuesday,2020-04-20,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-22,Wednesday,2020-04-20,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-23,Thursday,2020-04-20,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-24,Friday,2020-04-20,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-25,Saturday,2020-04-20,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-26,Sunday,2020-04-20,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-27,Monday,2020-04-27,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-28,Tuesday,2020-04-27,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-29,Wednesday,2020-04-27,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-04-30,Thursday,2020-04-27,2020-04-01,2020-04-01,April,4,2020-01-01,2020
2020-05-01,Friday,2020-04-27,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-02,Saturday,2020-04-27,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-03,Sunday,2020-04-27,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-04,Monday,2020-05-04,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-05,Tuesday,2020-05-04,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-06,Wednesday,2020-05-04,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-07,Thursday,2020-05-04,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-08,Friday,2020-05-04,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-09,Saturday,2020-05-04,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-10,Sunday,2020-05-04,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-11,Monday,2020-05-11,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-12,Tuesday,2020-05-11,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-13,Wednesday,2020-05-11,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-14,Thursday,2020-05-11,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-15,Friday,2020-05-11,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-16,Saturday,2020-05-11,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-17,Sunday,2020-05-11,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-18,Monday,2020-05-18,2020-05-01,2020-04-01,May,5,2020-01-01,2020
